id,display_name,functional_name,category,scope,trigger_type,condition_type,condition_value,badge_grade,description
cnt_cum_50,단골,누적 러닝 50회 달성,누적횟수,permanent,cumulative,cumulative_count_gte,"{""count"": 50}",silver,검증된 러닝 세션 누적 50회 달성 시 획득
cnt_cum_100,터줏대감,누적 러닝 100회 달성,누적횟수,permanent,cumulative,cumulative_count_gte,"{""count"": 100}",gold,검증된 러닝 세션 누적 100회 달성 시 획득
cnt_cum_250,고인물,누적 러닝 250회 달성,누적횟수,permanent,cumulative,cumulative_count_gte,"{""count"": 250}",gold,검증된 러닝 세션 누적 250회 달성 시 획득
cnt_cum_500,장인,누적 러닝 500회 달성,누적횟수,permanent,cumulative,cumulative_count_gte,"{""count"": 500}",platinum,검증된 러닝 세션 누적 500회 달성 시 획득
cnt_cum_750,달인,누적 러닝 750회 달성,누적횟수,permanent,cumulative,cumulative_count_gte,"{""count"": 750}",platinum,검증된 러닝 세션 누적 750회 달성 시 획득
cnt_cum_1000,마스터러너,누적 러닝 1000회 달성,누적횟수,permanent,cumulative,cumulative_count_gte,"{""count"": 1000}",diamond,검증된 러닝 세션 누적 1000회 달성 시 획득
strk_longest_2w,꾸준함,최장 연속 2주 러닝,최장스트릭,permanent,cumulative,streak_weeks_gte,"{""weeks"": 2}",bronze,"역대 최장 주간 연속 러닝 스트릭이 2주 이상일 때 획득"
strk_longest_4w,리듬,최장 연속 4주 러닝,최장스트릭,permanent,cumulative,streak_weeks_gte,"{""weeks"": 4}",bronze,"역대 최장 주간 연속 러닝 스트릭이 4주 이상일 때 획득"
strk_longest_8w,습관력,최장 연속 8주 러닝,최장스트릭,permanent,cumulative,streak_weeks_gte,"{""weeks"": 8}",silver,"역대 최장 주간 연속 러닝 스트릭이 8주 이상일 때 획득"
strk_longest_12w,한결같음,최장 연속 12주 러닝,최장스트릭,permanent,cumulative,streak_weeks_gte,"{""weeks"": 12}",silver,"역대 최장 주간 연속 러닝 스트릭이 12주 이상일 때 획득"
strk_longest_26w,뚝심,최장 연속 26주 러닝,최장스트릭,permanent,cumulative,streak_weeks_gte,"{""weeks"": 26}",gold,"역대 최장 주간 연속 러닝 스트릭이 26주 이상일 때 획득"
strk_longest_38w,우직함,최장 연속 38주 러닝,최장스트릭,permanent,cumulative,streak_weeks_gte,"{""weeks"": 38}",gold,"역대 최장 주간 연속 러닝 스트릭이 38주 이상일 때 획득"
strk_longest_52w,불굴,최장 연속 52주 러닝,최장스트릭,permanent,cumulative,streak_weeks_gte,"{""weeks"": 52}",platinum,"역대 최장 주간 연속 러닝 스트릭이 52주 이상일 때 획득"
strk_longest_78w,철인,최장 연속 78주 러닝,최장스트릭,permanent,cumulative,streak_weeks_gte,"{""weeks"": 78}",platinum,"역대 최장 주간 연속 러닝 스트릭이 78주 이상일 때 획득"
strk_longest_104w,불멸,최장 연속 104주 러닝,최장스트릭,permanent,cumulative,streak_weeks_gte,"{""weeks"": 104}",diamond,"역대 최장 주간 연속 러닝 스트릭이 104주 이상일 때 획득"
pb_first_1km,스타트,1km 첫 기록(PB) 달성,PB갱신,permanent,session,pb_first_achieved,"{""distanceKm"": 1}",special,1km 거리를 검증된 실외 기록으로 처음 완주하고 PB로 등록될 때 획득
pb_first_5km,각성,5km 첫 기록(PB) 달성,PB갱신,permanent,session,pb_first_achieved,"{""distanceKm"": 5}",special,5km 거리를 검증된 실외 기록으로 처음 완주하고 PB로 등록될 때 획득
pb_first_10km,돌파,10km 첫 기록(PB) 달성,PB갱신,permanent,session,pb_first_achieved,"{""distanceKm"": 10}",special,10km 거리를 검증된 실외 기록으로 처음 완주하고 PB로 등록될 때 획득
pb_first_15km,가속,15km 첫 기록(PB) 달성,PB갱신,permanent,session,pb_first_achieved,"{""distanceKm"": 15}",special,15km 거리를 검증된 실외 기록으로 처음 완주하고 PB로 등록될 때 획득
pb_first_half,하프러너,하프마라톤 첫 기록(PB) 달성,PB갱신,permanent,session,pb_first_achieved,"{""distanceKm"": 21.1}",special,하프마라톤 거리를 검증된 실외 기록으로 처음 완주하고 PB로 등록될 때 획득
pb_first_full,마라토너,풀마라톤 첫 기록(PB) 달성,PB갱신,permanent,session,pb_first_achieved,"{""distanceKm"": 42.2}",special,풀마라톤 거리를 검증된 실외 기록으로 처음 완주하고 PB로 등록될 때 획득
pb_1km_sub5,쾌속,1km 5분 이내 기록,PB갱신,permanent,session,pb_time_lte,"{""distanceKm"": 1, ""seconds"": 300}",bronze,1km 검증된 실외 기록이 5분 이내일 때 획득
pb_5km_sub30,순항,5km 30분 이내 기록,PB갱신,permanent,session,pb_time_lte,"{""distanceKm"": 5, ""seconds"": 1800}",bronze,5km 검증된 실외 기록이 30분 이내일 때 획득
pb_5km_sub25,역주,5km 25분 이내 기록,PB갱신,permanent,session,pb_time_lte,"{""distanceKm"": 5, ""seconds"": 1500}",silver,5km 검증된 실외 기록이 25분 이내일 때 획득
pb_5km_sub20,서브20,5km 20분 이내 기록,PB갱신,permanent,session,pb_time_lte,"{""distanceKm"": 5, ""seconds"": 1200}",gold,5km 검증된 실외 기록이 20분 이내일 때 획득
pb_10km_sub60,완주력,10km 1시간 0분 이내 기록,PB갱신,permanent,session,pb_time_lte,"{""distanceKm"": 10, ""seconds"": 3600}",bronze,10km 검증된 실외 기록이 1시간 0분 이내일 때 획득
pb_10km_sub50,스퍼트,10km 50분 이내 기록,PB갱신,permanent,session,pb_time_lte,"{""distanceKm"": 10, ""seconds"": 3000}",silver,10km 검증된 실외 기록이 50분 이내일 때 획득
pb_10km_sub40,서브40,10km 40분 이내 기록,PB갱신,permanent,session,pb_time_lte,"{""distanceKm"": 10, ""seconds"": 2400}",gold,10km 검증된 실외 기록이 40분 이내일 때 획득
pb_15km_sub90,지구력,15km 1시간 30분 이내 기록,PB갱신,permanent,session,pb_time_lte,"{""distanceKm"": 15, ""seconds"": 5400}",bronze,15km 검증된 실외 기록이 1시간 30분 이내일 때 획득
pb_half_sub150,완주자,하프마라톤 2시간 30분 이내 기록,PB갱신,permanent,session,pb_time_lte,"{""distanceKm"": 21.1, ""seconds"": 9000}",bronze,하프마라톤 검증된 실외 기록이 2시간 30분 이내일 때 획득
pb_half_sub120,서브투,하프마라톤 2시간 0분 이내 기록,PB갱신,permanent,session,pb_time_lte,"{""distanceKm"": 21.1, ""seconds"": 7200}",silver,하프마라톤 검증된 실외 기록이 2시간 0분 이내일 때 획득
pb_half_sub100,서브100,하프마라톤 1시간 40분 이내 기록,PB갱신,permanent,session,pb_time_lte,"{""distanceKm"": 21.1, ""seconds"": 6000}",gold,하프마라톤 검증된 실외 기록이 1시간 40분 이내일 때 획득
pb_full_sub300,완주혼,풀마라톤 5시간 0분 이내 기록,PB갱신,permanent,session,pb_time_lte,"{""distanceKm"": 42.2, ""seconds"": 18000}",bronze,풀마라톤 검증된 실외 기록이 5시간 0분 이내일 때 획득
pb_full_sub240,서브포,풀마라톤 4시간 0분 이내 기록,PB갱신,permanent,session,pb_time_lte,"{""distanceKm"": 42.2, ""seconds"": 14400}",silver,풀마라톤 검증된 실외 기록이 4시간 0분 이내일 때 획득
pb_full_sub210,서브330,풀마라톤 3시간 30분 이내 기록,PB갱신,permanent,session,pb_time_lte,"{""distanceKm"": 42.2, ""seconds"": 12600}",gold,풀마라톤 검증된 실외 기록이 3시간 30분 이내일 때 획득
session_dist_10km,텐런,한 번에 10km 완주,단일세션거리,permanent,session,session_distance_gte,"{""distanceKm"": 10}",special,단일 러닝 세션에서 10km 이상 거리를 완주하면 획득
session_dist_15km,롱런,한 번에 15km 완주,단일세션거리,permanent,session,session_distance_gte,"{""distanceKm"": 15}",special,단일 러닝 세션에서 15km 이상 거리를 완주하면 획득
session_dist_half,하프런,한 번에 하프마라톤 완주,단일세션거리,permanent,session,session_distance_gte,"{""distanceKm"": 21.1}",special,단일 러닝 세션에서 하프마라톤 이상 거리를 완주하면 획득
session_dist_full,풀런,한 번에 풀마라톤 완주,단일세션거리,permanent,session,session_distance_gte,"{""distanceKm"": 42.2}",special,단일 러닝 세션에서 풀마라톤 이상 거리를 완주하면 획득
session_dist_ultra50,울트라런,한 번에 50km 완주,단일세션거리,permanent,session,session_distance_gte,"{""distanceKm"": 50}",special,단일 러닝 세션에서 50km 이상 거리를 완주하면 획득
session_duration_2h,투아워런,논스톱 2시간 이상 러닝,단일세션거리,permanent,session,session_duration_gte,"{""seconds"": 7200}",special,단일 러닝 세션 시간이 2시간 이상일 때 획득
session_duration_3h,쓰리아워런,논스톱 3시간 이상 러닝,단일세션거리,permanent,session,session_duration_gte,"{""seconds"": 10800}",special,단일 러닝 세션 시간이 3시간 이상일 때 획득
tod_dawn_1,새벽런,첫 새벽런,시간대요일,permanent,session,session_start_hour_count_gte,"{""before"": ""05:00"", ""count"": 1}",bronze,오전 5시 이전 시작한 러닝이 누적 1회일 때 획득
tod_dawn_10,새벽형인간,새벽런 10회,시간대요일,permanent,session,session_start_hour_count_gte,"{""before"": ""05:00"", ""count"": 10}",silver,오전 5시 이전 시작한 러닝이 누적 10회일 때 획득
tod_dawn_50,새벽러너,새벽런 50회,시간대요일,permanent,session,session_start_hour_count_gte,"{""before"": ""05:00"", ""count"": 50}",platinum,오전 5시 이전 시작한 러닝이 누적 50회일 때 획득
tod_night_1,심야런,첫 심야런,시간대요일,permanent,session,session_start_hour_count_gte,"{""after"": ""22:00"", ""count"": 1}",bronze,오후 10시 이후 시작한 러닝이 누적 1회일 때 획득
tod_night_10,올빼미,심야런 10회,시간대요일,permanent,session,session_start_hour_count_gte,"{""after"": ""22:00"", ""count"": 10}",silver,오후 10시 이후 시작한 러닝이 누적 10회일 때 획득
tod_night_50,나이트러너,심야런 50회,시간대요일,permanent,session,session_start_hour_count_gte,"{""after"": ""22:00"", ""count"": 50}",platinum,오후 10시 이후 시작한 러닝이 누적 50회일 때 획득
tod_lunch_10,점심런,점심런 10회,시간대요일,permanent,session,session_start_hour_count_gte,"{""between"": [""11:30"", ""13:30""], ""count"": 10}",bronze,11:30~13:30 사이 시작한 러닝이 누적 10회일 때 획득
tod_lunch_50,런치러너,점심런 50회,시간대요일,permanent,session,session_start_hour_count_gte,"{""between"": [""11:30"", ""13:30""], ""count"": 50}",gold,11:30~13:30 사이 시작한 러닝이 누적 50회일 때 획득
tod_weekday5_1,풀출근런,첫 평일 5일 개근,시간대요일,permanent,cumulative,weekday_full_week_count_gte,"{""count"": 1}",bronze,월~금 5일 모두 러닝한 주가 누적 1회일 때 획득
tod_weekday5_10,위크데이러너,평일 5일 개근 10회,시간대요일,permanent,cumulative,weekday_full_week_count_gte,"{""count"": 10}",gold,월~금 5일 모두 러닝한 주가 누적 10회일 때 획득
tod_weekend_1,주말런,첫 주말 개근,시간대요일,permanent,cumulative,weekend_both_days_count_gte,"{""count"": 1}",bronze,토·일 이틀 모두 러닝한 주가 누적 1회일 때 획득
tod_weekend_10,위켄더,주말 개근 10회,시간대요일,permanent,cumulative,weekend_both_days_count_gte,"{""count"": 10}",gold,토·일 이틀 모두 러닝한 주가 누적 10회일 때 획득
tod_monday_10,월요킬러,월요병 극복 10회,시간대요일,permanent,cumulative,day_of_week_count_gte,"{""day"": ""MON"", ""count"": 10}",silver,월요일 러닝이 누적 10회일 때 획득
tod_all_days_diversity,요일마스터,일주일 모든 요일 러닝 경험,시간대요일,permanent,cumulative,day_of_week_diversity_gte,"{""distinctDays"": 7}",gold,월~일 7개 요일 모두에서 최소 1회씩 러닝한 적이 있을 때 획득
tod_prework_10,출근전사,출근 전 러닝 10회,시간대요일,permanent,cumulative,session_start_hour_count_gte,"{""before"": ""07:00"", ""weekdayOnly"": true, ""count"": 10}",silver,평일 오전 7시 이전 러닝이 누적 10회일 때 획득
route_diverse_5,탐험가,새로운 경로 5곳 탐험,경로탐험,permanent,cumulative,route_diversity_count_gte,"{""distinctStartPoints"": 5}",bronze,시작 지점 기준 서로 다른 경로에서 러닝한 곳이 5곳 이상일 때 획득
route_diverse_10,루트헌터,새로운 경로 10곳 탐험,경로탐험,permanent,cumulative,route_diversity_count_gte,"{""distinctStartPoints"": 10}",silver,시작 지점 기준 서로 다른 경로에서 러닝한 곳이 10곳 이상일 때 획득
route_diverse_25,지도제작자,새로운 경로 25곳 탐험,경로탐험,permanent,cumulative,route_diversity_count_gte,"{""distinctStartPoints"": 25}",platinum,시작 지점 기준 서로 다른 경로에서 러닝한 곳이 25곳 이상일 때 획득
route_elev_500,언덕러너,누적 고도상승 500m 달성,경로탐험,permanent,cumulative,elevation_gain_cumulative_gte,"{""meters"": 500}",bronze,평생 누적 고도상승(elevation gain)이 500m를 넘으면 획득
route_elev_2000,클라이머,누적 고도상승 2000m 달성,경로탐험,permanent,cumulative,elevation_gain_cumulative_gte,"{""meters"": 2000}",silver,평생 누적 고도상승(elevation gain)이 2000m를 넘으면 획득
route_elev_5000,마운티니어,누적 고도상승 5000m 달성,경로탐험,permanent,cumulative,elevation_gain_cumulative_gte,"{""meters"": 5000}",platinum,평생 누적 고도상승(elevation gain)이 5000m를 넘으면 획득
route_district_3,동네탐방,3개 지역에서 러닝,경로탐험,permanent,cumulative,district_diversity_gte,"{""distinctDistricts"": 3}",bronze,서로 다른 행정구역(구/동)에서 러닝한 곳이 3곳 이상일 때 획득
route_district_10,구역정복,10개 지역에서 러닝,경로탐험,permanent,cumulative,district_diversity_gte,"{""distinctDistricts"": 10}",gold,서로 다른 행정구역(구/동)에서 러닝한 곳이 10곳 이상일 때 획득
route_loop_10,루프마스터,루프 코스 10회 완주,경로탐험,permanent,cumulative,loop_course_count_gte,"{""count"": 10}",silver,출발지와 도착지가 같은 순환(루프) 코스 러닝이 누적 10회일 때 획득
special_birthday,생일런,생일런,특별한날,permanent,session,calendar_date_match,"{""type"": ""birthday""}",special,내 생일에 러닝을 완료하면 획득
special_newyear,새해런,새해 첫날 러닝,특별한날,permanent,session,calendar_date_match,"{""date"": ""01-01""}",special,1월 1일에 러닝을 완료하면 획득
special_lunar_newyear,설날런,설날 러닝,특별한날,permanent,session,calendar_date_match,"{""date"": ""lunar_newyear""}",special,설날 당일 러닝을 완료하면 획득
special_childrens_day,동심런,어린이날 러닝,특별한날,permanent,session,calendar_date_match,"{""date"": ""05-05""}",special,5월 5일 어린이날 러닝을 완료하면 획득
special_liberation_day,광복런,광복절 러닝,특별한날,permanent,session,calendar_date_match,"{""date"": ""08-15""}",special,8월 15일 광복절 러닝을 완료하면 획득
special_chuseok,추석런,추석 러닝,특별한날,permanent,session,calendar_date_match,"{""date"": ""chuseok""}",special,추석 당일 러닝을 완료하면 획득
special_hangeul_day,한글런,한글날 러닝,특별한날,permanent,session,calendar_date_match,"{""date"": ""10-09""}",special,10월 9일 한글날 러닝을 완료하면 획득
special_christmas,산타런,크리스마스 러닝,특별한날,permanent,session,calendar_date_match,"{""date"": ""12-25""}",special,12월 25일 러닝을 완료하면 획득
special_last_day_of_year,라스트런,한 해 마지막 러닝,특별한날,permanent,session,calendar_date_match,"{""date"": ""12-31""}",special,12월 31일 러닝을 완료하면 획득
special_anniv_1y,1주년,가입 1주년 기념 러닝,특별한날,permanent,session,membership_anniversary_run,"{""years"": 1}",special,앱 가입 1주년 당일 러닝을 완료하면 획득
special_anniv_3y,3주년,가입 3주년 기념 러닝,특별한날,permanent,session,membership_anniversary_run,"{""years"": 3}",special,앱 가입 3주년 당일 러닝을 완료하면 획득
special_anniv_5y,5주년,가입 5주년 기념 러닝,특별한날,permanent,session,membership_anniversary_run,"{""years"": 5}",special,앱 가입 5주년 당일 러닝을 완료하면 획득
pace_avg_sub600,안정페이스,평균 페이스 6분00초/km 이내,페이스속도,permanent,session,pace_avg_lte,"{""secPerKm"": 360}",special,단일 세션 평균 페이스가 6:00/km 이내일 때 획득
pace_avg_sub530,빠른걸음,평균 페이스 5분30초/km 이내,페이스속도,permanent,session,pace_avg_lte,"{""secPerKm"": 330}",special,단일 세션 평균 페이스가 5:30/km 이내일 때 획득
pace_avg_sub500,질주페이스,평균 페이스 5분00초/km 이내,페이스속도,permanent,session,pace_avg_lte,"{""secPerKm"": 300}",special,단일 세션 평균 페이스가 5:00/km 이내일 때 획득
pace_avg_sub430,레이서,평균 페이스 4분30초/km 이내,페이스속도,permanent,session,pace_avg_lte,"{""secPerKm"": 270}",special,단일 세션 평균 페이스가 4:30/km 이내일 때 획득
pace_negsplit_1,후반스퍼트,첫 네거티브 스플릿,페이스속도,permanent,session,pace_negative_split_count_gte,"{""count"": 1}",bronze,후반 구간이 전반보다 빠른 네거티브 스플릿 러닝이 누적 1회일 때 획득
pace_negsplit_10,네거티브마스터,네거티브 스플릿 10회,페이스속도,permanent,cumulative,pace_negative_split_count_gte,"{""count"": 10}",gold,후반 구간이 전반보다 빠른 네거티브 스플릿 러닝이 누적 10회일 때 획득
pace_spurt_finish_1,라스트스퍼트,스퍼트 피니시,페이스속도,permanent,session,pace_final_km_faster_pct_gte,"{""pct"": 20}",special,마지막 1km 페이스가 세션 평균보다 20% 이상 빠를 때 획득
pace_consistent_1,메트로놈,일정한 페이스 유지,페이스속도,permanent,session,pace_variance_lte,"{""pct"": 5}",special,세션 내 km별 페이스 변동폭이 평균 대비 ±5% 이내일 때 획득(5km 이상 세션 한정)
device_watchApple_1,애플워치런,애플워치로 첫 완주,기기연동,permanent,session,device_source_count_gte,"{""source"": ""watchApple"", ""count"": 1}",special,애플워치로 기록한 러닝이 처음 검증될 때 획득
device_watchApple_50,애플워치러너,애플워치로 누적 50회 완주,기기연동,permanent,cumulative,device_source_count_gte,"{""source"": ""watchApple"", ""count"": 50}",gold,애플워치로 기록한 러닝이 누적 50회일 때 획득
device_watchGarmin_1,가민런,가민으로 첫 완주,기기연동,permanent,session,device_source_count_gte,"{""source"": ""watchGarmin"", ""count"": 1}",special,가민으로 기록한 러닝이 처음 검증될 때 획득
device_watchGarmin_50,가민러너,가민으로 누적 50회 완주,기기연동,permanent,cumulative,device_source_count_gte,"{""source"": ""watchGarmin"", ""count"": 50}",gold,가민으로 기록한 러닝이 누적 50회일 때 획득
device_both_used,올라운더,폰 + 워치 모두 사용,기기연동,permanent,cumulative,device_source_diversity_gte,"{""sources"": [""phone"", ""watchApple_or_watchGarmin""]}",special,폰 단독 기록과 워치 연동 기록을 각각 최소 1회 이상 보유하면 획득
lvl_5,루키,레벨 5 달성,레벨,permanent,cumulative,level_gte,"{""level"": 5}",bronze,사용자 레벨이 5에 도달하면 획득
lvl_10,러너,레벨 10 달성,레벨,permanent,cumulative,level_gte,"{""level"": 10}",bronze,사용자 레벨이 10에 도달하면 획득
lvl_15,에이스,레벨 15 달성,레벨,permanent,cumulative,level_gte,"{""level"": 15}",silver,사용자 레벨이 15에 도달하면 획득
lvl_20,베테랑,레벨 20 달성,레벨,permanent,cumulative,level_gte,"{""level"": 20}",silver,사용자 레벨이 20에 도달하면 획득
lvl_25,엘리트,레벨 25 달성,레벨,permanent,cumulative,level_gte,"{""level"": 25}",gold,사용자 레벨이 25에 도달하면 획득
lvl_30,챔피언,레벨 30 달성,레벨,permanent,cumulative,level_gte,"{""level"": 30}",gold,사용자 레벨이 30에 도달하면 획득
lvl_40,마스터,레벨 40 달성,레벨,permanent,cumulative,level_gte,"{""level"": 40}",platinum,사용자 레벨이 40에 도달하면 획득
lvl_50,그랜드마스터,레벨 50 달성,레벨,permanent,cumulative,level_gte,"{""level"": 50}",platinum,사용자 레벨이 50에 도달하면 획득
lvl_60,만렙,레벨 60 달성,레벨,permanent,cumulative,level_gte,"{""level"": 60}",diamond,사용자 레벨이 60에 도달하면 획득
stier_bronze,시즌브론즈,시즌 브론즈 티어 달성,시즌티어달성,seasonal,cumulative,season_tier_reached,"{""tier"": ""bronze""}",bronze,해당 시즌 누적거리 기준 브론즈 티어에 도달하면 발급. 시즌 라벨과 함께 영구 보존(예: '2026 Q3 브론즈')
stier_silver,시즌실버,시즌 실버 티어 달성,시즌티어달성,seasonal,cumulative,season_tier_reached,"{""tier"": ""silver""}",silver,해당 시즌 누적거리 기준 실버 티어에 도달하면 발급. 시즌 라벨과 함께 영구 보존(예: '2026 Q3 실버')
stier_gold,시즌골드,시즌 골드 티어 달성,시즌티어달성,seasonal,cumulative,season_tier_reached,"{""tier"": ""gold""}",gold,해당 시즌 누적거리 기준 골드 티어에 도달하면 발급. 시즌 라벨과 함께 영구 보존(예: '2026 Q3 골드')
stier_platinum,시즌플래티넘,시즌 플래티넘 티어 달성,시즌티어달성,seasonal,cumulative,season_tier_reached,"{""tier"": ""platinum""}",platinum,해당 시즌 누적거리 기준 플래티넘 티어에 도달하면 발급. 시즌 라벨과 함께 영구 보존(예: '2026 Q3 플래티넘')
srank_bronze_top1,브론즈 위클리킹,브론즈 티어 주간 1위,시즌주간랭킹,seasonal,cumulative,season_weekly_rank_lte,"{""tier"": ""bronze"", ""bucket"": ""top1""}",bronze,브론즈 티어 내 주간 누적거리 랭킹에서 주간 1위에 들면 그 주 발급
srank_bronze_top10,브론즈 탑텐,브론즈 티어 주간 TOP10,시즌주간랭킹,seasonal,cumulative,season_weekly_rank_lte,"{""tier"": ""bronze"", ""bucket"": ""top10""}",bronze,브론즈 티어 내 주간 누적거리 랭킹에서 주간 TOP10에 들면 그 주 발급
srank_bronze_top10pct,브론즈 라이징,브론즈 티어 주간 상위 10%,시즌주간랭킹,seasonal,cumulative,season_weekly_rank_lte,"{""tier"": ""bronze"", ""bucket"": ""top10pct""}",bronze,브론즈 티어 내 주간 누적거리 랭킹에서 주간 상위 10%에 들면 그 주 발급
srank_silver_top1,실버 위클리킹,실버 티어 주간 1위,시즌주간랭킹,seasonal,cumulative,season_weekly_rank_lte,"{""tier"": ""silver"", ""bucket"": ""top1""}",silver,실버 티어 내 주간 누적거리 랭킹에서 주간 1위에 들면 그 주 발급
srank_silver_top10,실버 탑텐,실버 티어 주간 TOP10,시즌주간랭킹,seasonal,cumulative,season_weekly_rank_lte,"{""tier"": ""silver"", ""bucket"": ""top10""}",silver,실버 티어 내 주간 누적거리 랭킹에서 주간 TOP10에 들면 그 주 발급
srank_silver_top10pct,실버 라이징,실버 티어 주간 상위 10%,시즌주간랭킹,seasonal,cumulative,season_weekly_rank_lte,"{""tier"": ""silver"", ""bucket"": ""top10pct""}",silver,실버 티어 내 주간 누적거리 랭킹에서 주간 상위 10%에 들면 그 주 발급
srank_gold_top1,골드 위클리킹,골드 티어 주간 1위,시즌주간랭킹,seasonal,cumulative,season_weekly_rank_lte,"{""tier"": ""gold"", ""bucket"": ""top1""}",gold,골드 티어 내 주간 누적거리 랭킹에서 주간 1위에 들면 그 주 발급
srank_gold_top10,골드 탑텐,골드 티어 주간 TOP10,시즌주간랭킹,seasonal,cumulative,season_weekly_rank_lte,"{""tier"": ""gold"", ""bucket"": ""top10""}",gold,골드 티어 내 주간 누적거리 랭킹에서 주간 TOP10에 들면 그 주 발급
srank_gold_top10pct,골드 라이징,골드 티어 주간 상위 10%,시즌주간랭킹,seasonal,cumulative,season_weekly_rank_lte,"{""tier"": ""gold"", ""bucket"": ""top10pct""}",gold,골드 티어 내 주간 누적거리 랭킹에서 주간 상위 10%에 들면 그 주 발급
srank_platinum_top1,플래티넘 위클리킹,플래티넘 티어 주간 1위,시즌주간랭킹,seasonal,cumulative,season_weekly_rank_lte,"{""tier"": ""platinum"", ""bucket"": ""top1""}",platinum,플래티넘 티어 내 주간 누적거리 랭킹에서 주간 1위에 들면 그 주 발급
srank_platinum_top10,플래티넘 탑텐,플래티넘 티어 주간 TOP10,시즌주간랭킹,seasonal,cumulative,season_weekly_rank_lte,"{""tier"": ""platinum"", ""bucket"": ""top10""}",platinum,플래티넘 티어 내 주간 누적거리 랭킹에서 주간 TOP10에 들면 그 주 발급
srank_platinum_top10pct,플래티넘 라이징,플래티넘 티어 주간 상위 10%,시즌주간랭킹,seasonal,cumulative,season_weekly_rank_lte,"{""tier"": ""platinum"", ""bucket"": ""top10pct""}",platinum,플래티넘 티어 내 주간 누적거리 랭킹에서 주간 상위 10%에 들면 그 주 발급
sevent_welcome,시즌웰컴,시즌 웰컴,시즌한정이벤트,seasonal,session,season_first_run,{},special,그 시즌 첫 러닝을 완료하면 획득
sevent_full_attendance,시즌개근,시즌 개근,시즌한정이벤트,seasonal,cumulative,season_weekly_attendance_full,{},special,시즌 전체 기간 동안 매주 최소 1회 이상 러닝하면 시즌 종료 시 획득
sevent_half_attendance,시즌반개근,시즌 절반 개근,시즌한정이벤트,seasonal,cumulative,season_weekly_attendance_gte_pct,"{""pct"": 50}",special,시즌 기간 중 절반 이상의 주에 최소 1회 러닝하면 획득
